Dates,Close Price,STOXX 600
Aug-25-2022,15.62,433.36
Aug-26-2022,15.66,426.09
Aug-29-2022,15.56,422.65
Aug-30-2022,15.6,419.81
Aug-31-2022,16,415.12
Sep-01-2022,15.6,407.66
Sep-02-2022,15.62,415.97
Sep-05-2022,15.74,413.39
Sep-06-2022,15.76,414.38
Sep-07-2022,15.18,412.01
Sep-08-2022,15.04,414.09
Sep-09-2022,15.6,420.37
Sep-12-2022,15.78,427.75
Sep-13-2022,15.63,421.13
Sep-14-2022,15.15,417.51
Sep-15-2022,15.7,414.78
Sep-16-2022,14.29,408.24
Sep-19-2022,15.1,407.87
Sep-20-2022,15.01,403.42
Sep-21-2022,15,407.05
Sep-22-2022,15.5,399.76
Sep-23-2022,15.14,390.4
Sep-26-2022,14.9,388.75
Sep-27-2022,14.6,388.24
Sep-28-2022,14.54,389.41
Sep-29-2022,14.82,382.89
Sep-30-2022,15.16,387.85
Oct-03-2022,15.42,390.83
Oct-04-2022,15.71,403.03
Oct-05-2022,15.06,398.91
Oct-06-2022,15.98,396.35
Oct-07-2022,15.65,391.67
Oct-10-2022,15.76,390.12
Oct-11-2022,15.65,387.95
Oct-12-2022,15.88,385.88
Oct-13-2022,15.74,389.15
Oct-14-2022,15.81,391.31
Oct-17-2022,16.18,398.48
Oct-18-2022,16.39,399.84
Oct-19-2022,16.74,397.73
Oct-20-2022,16.75,398.77
Oct-21-2022,16.52,396.29
Oct-24-2022,16.96,401.84
Oct-25-2022,17.48,407.61
Oct-26-2022,17.31,410.31
Oct-27-2022,17.25,410.19
Oct-28-2022,17.21,410.76
Oct-31-2022,17.69,412.2
Nov-01-2022,17.71,414.61
Nov-02-2022,17.1,413.39
Nov-03-2022,17.18,409.55
Nov-04-2022,17.81,416.98
Nov-07-2022,17.7,418.34
Nov-08-2022,17.98,421.61
Nov-09-2022,17.98,420.34
Nov-10-2022,19,431.89
Nov-11-2022,18.69,432.26
Nov-14-2022,19.01,432.86
Nov-15-2022,18.94,434.44
Nov-16-2022,19.03,430.17
Nov-17-2022,19.01,428.38
Nov-18-2022,19.06,433.33
Nov-21-2022,19.07,433.06
Nov-22-2022,19.28,436.22
Nov-23-2022,19.2,438.82
Nov-24-2022,19.16,440.84
Nov-25-2022,19.16,440.73
Nov-28-2022,19.04,437.85
Nov-29-2022,20.12,437.29
Nov-30-2022,19.21,440.04
Dec-01-2022,19.75,443.96
Dec-02-2022,19.95,443.29
Dec-05-2022,19.8,441.47
Dec-06-2022,19.87,438.92
Dec-07-2022,20.1,436.2
Dec-08-2022,20.02,435.47
Dec-09-2022,20.4,439.13
Dec-12-2022,20.18,436.98
Dec-13-2022,20.3,442.6
Dec-14-2022,20.18,442.51
Dec-15-2022,20.02,429.91
Dec-16-2022,18.82,424.74
Dec-19-2022,19.27,425.87
Dec-20-2022,18.98,424.18
Dec-21-2022,19.26,431.44
Dec-22-2022,19.47,427.26
Dec-23-2022,19.4,427.45
Dec-26-2022,0,0
Dec-27-2022,19.64,428
Dec-28-2022,19.98,427.46
Dec-29-2022,20.08,430.35
Dec-30-2022,20.04,424.89
Jan-02-2023,20.98,428.95
