date,ust3MTH_close
2019/5/2,2.437
2019/5/3,2.431
2019/5/5,2.427
2019/5/6,2.426
2019/5/7,2.432
2019/5/8,2.434
2019/5/9,2.434
2019/5/10,2.429
2019/5/12,2.424
2019/5/13,2.413
2019/5/14,2.416
2019/5/15,2.409
2019/5/16,2.401
2019/5/17,2.393
2019/5/19,2.386
2019/5/20,2.382
2019/5/21,2.393
2019/5/22,2.378
2019/5/23,2.365
2019/5/24,2.354
2019/5/27,2.352
2019/5/28,2.356
2019/5/29,2.36
2019/5/30,2.372
2019/5/31,2.354
2019/6/2,2.348
2019/6/3,2.341
2019/6/4,2.357
2019/6/5,2.342
2019/6/6,2.313
2019/6/7,2.274
2019/6/9,2.28
2019/6/10,2.279
2019/6/11,2.272
2019/6/12,2.221
2019/6/13,2.198
2019/6/14,2.182
2019/6/16,2.176
2019/6/17,2.195
2019/6/18,2.226
2019/6/19,2.182
2019/6/20,2.136
2019/6/21,2.11
2019/6/23,2.115
2019/6/24,2.112
2019/6/25,2.139
2019/6/26,2.149
2019/6/27,2.144
2019/6/28,2.1
2019/6/30,2.107
2019/7/1,2.125
2019/7/2,2.205
2019/7/3,2.208
2019/7/4,2.208
2019/7/5,2.218
2019/7/7,2.223
2019/7/8,2.241
2019/7/9,2.254
2019/7/10,2.19
2019/7/11,2.157
2019/7/12,2.151
2019/7/14,2.143
2019/7/15,2.143
2019/7/16,2.159
2019/7/17,2.128
2019/7/18,2.069
2019/7/19,2.066
2019/7/21,2.069
2019/7/22,2.082
2019/7/23,2.092
2019/7/24,2.095
2019/7/25,2.11
2019/7/26,2.118
2019/7/28,2.123
2019/7/29,2.105
2019/7/30,2.095
2019/7/31,2.085
2019/8/1,2.085
2019/8/2,2.064
2019/8/4,2.064
2019/8/5,2.015
2019/8/6,2.049
2019/8/7,2.021
2019/8/8,2.023
2019/8/9,2.002
2019/8/11,1.997
2019/8/12,1.984
2019/8/13,2.008
2019/8/14,1.959
2019/8/15,1.902
2019/8/16,1.871
2019/8/18,1.869
2019/8/19,1.907
2019/8/20,1.951
2019/8/21,1.974
2019/8/22,1.992
2019/8/23,1.964
2019/8/25,1.971
2019/8/26,1.987
2019/8/27,1.995
2019/8/28,1.992
2019/8/29,1.992
2019/8/30,1.987
2019/9/2,1.989
2019/9/3,1.964
2019/9/4,1.967
2019/9/5,1.972
2019/9/6,1.964
2019/9/8,1.956
2019/9/9,1.964
2019/9/10,1.962
2019/9/11,1.962
2019/9/12,1.956
2019/9/13,1.961
2019/9/15,1.966
2019/9/16,1.999
2019/9/17,2
2019/9/18,1.941
2019/9/19,1.938
2019/9/20,1.91
2019/9/22,1.669
2019/9/23,1.905
2019/9/24,1.931
2019/9/25,1.895
2019/9/26,1.828
2019/9/27,1.797
2019/9/29,1.805
2019/9/30,1.825
2019/10/1,1.826
2019/10/2,1.808
2019/10/3,1.718
2019/10/4,1.71
2019/10/6,1.703
2019/10/7,1.723
2019/10/8,1.7
2019/10/9,1.705
2019/10/10,1.687
2019/10/11,1.682
2019/10/14,1.687
2019/10/15,1.671
2019/10/16,1.669
2019/10/17,1.669
2019/10/18,1.671
2019/10/20,1.671
2019/10/21,1.669
2019/10/22,1.659
2019/10/23,1.659
2019/10/24,1.674
2019/10/25,1.674
2019/10/27,1.674
2019/10/28,1.648
2019/10/29,1.644
2019/10/30,1.644
2019/10/31,1.546
2019/11/1,1.533
2019/11/3,1.526
2019/11/4,1.548
2019/11/5,1.559
2019/11/6,1.556
2019/11/7,1.559
2019/11/8,1.554
2019/11/11,1.556
2019/11/12,1.574
2019/11/13,1.572
2019/11/14,1.574
2019/11/15,1.569
2019/11/17,1.569
2019/11/18,1.574
2019/11/19,1.567
2019/11/20,1.572
2019/11/21,1.577
2019/11/22,1.589
2019/11/24,1.589
2019/11/25,1.589
2019/11/26,1.605
2019/11/27,1.608
2019/11/28,1.608
2019/11/29,1.587
2019/12/1,1.582
2019/12/2,1.579
2019/12/3,1.579
2019/12/4,1.559
2019/12/5,1.546
2019/12/6,1.523
2019/12/8,1.523
2019/12/9,1.556
2019/12/10,1.567
2019/12/11,1.572
2019/12/12,1.572
2019/12/13,1.564
2019/12/15,1.564
2019/12/16,1.566
2019/12/17,1.572
2019/12/18,1.559
2019/12/19,1.574
2019/12/20,1.579
2019/12/22,1.582
2019/12/23,1.574
2019/12/24,1.579
2019/12/25,1.582
2019/12/26,1.577
2019/12/27,1.564
2019/12/29,1.559
2019/12/30,1.541
2019/12/31,1.556
2020/1/1,1.556
2020/1/2,1.533
2020/1/3,1.52
2020/1/5,1.531
2020/1/6,1.538
2020/1/7,1.551
2020/1/8,1.544
2020/1/9,1.541
2020/1/10,1.538
2020/1/12,1.538
2020/1/13,1.564
2020/1/14,1.572
2020/1/15,1.569
2020/1/16,1.559
2020/1/17,1.561
2020/1/20,1.559
2020/1/21,1.556
2020/1/22,1.554
2020/1/23,1.556
2020/1/24,1.531
2020/1/26,1.531
2020/1/27,1.546
2020/1/28,1.572
2020/1/29,1.562
2020/1/30,1.569
2020/1/31,1.554
2020/2/2,1.559
2020/2/3,1.579
2020/2/4,1.574
2020/2/5,1.562
2020/2/6,1.574
2020/2/7,1.564
2020/2/9,1.566
2020/2/10,1.566
2020/2/11,1.579
2020/2/12,1.577
2020/2/13,1.587
2020/2/14,1.577
2020/2/17,1.577
2020/2/18,1.577
2020/2/19,1.579
2020/2/20,1.579
2020/2/21,1.559
2020/2/23,1.559
2020/2/24,1.548
2020/2/25,1.531
2020/2/26,1.518
2020/2/27,1.454
2020/2/28,1.285
2020/3/1,1.293
2020/3/2,1.169
2020/3/3,0.953
2020/3/4,0.706
2020/3/5,0.625
2020/3/6,0.475
2020/3/8,0.529
2020/3/9,0.383
2020/3/10,0.426
2020/3/11,0.434
2020/3/12,0.327
2020/3/13,0.276
2020/3/15,0.193
2020/3/16,0.223
2020/3/17,0.208
2020/3/18,0.02
2020/3/19,0.063
2020/3/20,0.038
2020/3/22,0.031
2020/3/23,0.03
2020/3/24,0.028
2020/3/25,-0.046
2020/3/26,-0.035
2020/3/27,0.015
2020/3/29,0.02
2020/3/30,0.053
2020/3/31,0.132
2020/4/1,0.074
2020/4/2,0.096
2020/4/3,0.106
2020/4/5,0.091
2020/4/6,0.178
2020/4/7,0.15
2020/4/8,0.198
2020/4/9,0.236
2020/4/12,0.27
2020/4/13,0.231
2020/4/14,0.208
2020/4/15,0.157
2020/4/16,0.147
2020/4/17,0.124
2020/4/19,0.137
2020/4/20,0.101
2020/4/21,0.109
2020/4/22,0.104
2020/4/23,0.109
2020/4/24,0.122
2020/4/26,0.132
2020/4/27,0.114
2020/4/28,0.106
2020/4/29,0.101
2020/4/30,0.106
2020/5/1,0.109
2020/5/3,0.117
2020/5/4,0.104
2020/5/5,0.122
2020/5/6,0.119
2020/5/7,0.106
2020/5/8,0.117
2020/5/10,0.119
2020/5/11,0.119
2020/5/12,0.134
2020/5/13,0.122
2020/5/14,0.122
2020/5/15,0.124
2020/5/17,0.119
2020/5/18,0.122
2020/5/19,0.129
2020/5/20,0.124
2020/5/21,0.122
2020/5/22,0.122
2020/5/25,0.122
2020/5/26,0.129
2020/5/27,0.142
2020/5/28,0.15
2020/5/29,0.142
2020/5/31,0.142
2020/6/1,0.139
2020/6/2,0.152
2020/6/3,0.155
2020/6/4,0.152
2020/6/5,0.157
2020/6/7,0.155
2020/6/8,0.165
2020/6/9,0.172
2020/6/10,0.172
2020/6/11,0.165
2020/6/12,0.165
2020/6/15,0.167
2020/6/16,0.172
2020/6/17,0.178
2020/6/18,0.157
2020/6/19,0.155
2020/6/21,0.155
2020/6/22,0.152
2020/6/23,0.152
2020/6/24,0.152
2020/6/25,0.142
2020/6/26,0.145
2020/6/28,0.145
2020/6/29,0.137
2020/6/30,0.147
